Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,Philadelphia Eagles,17,19.8,31.9,62.2,174.2,1.29,4.1,0.76,5.29,2.4,6.0,5.8,9.7,174.2,82.5,2.41,17.9,5.12,4.76,7.0,5.1,4.8,0.72
2,Tennessee Titans,17,18.5,27.8,66.4,177.3,1.59,5.7,0.65,3.12,2.3,6.8,6.9,10.2,177.3,95.1,1.88,11.9,3.94,5.41,6.3,6.0,6.1,-5.28
3,Washington Commanders,17,18.1,29.2,61.9,189.5,1.47,5.0,0.41,3.53,1.4,7.0,7.4,11.4,189.5,93.9,2.53,15.9,5.18,5.06,8.0,6.0,6.3,-7.46
4,New York Jets,17,19.2,30.6,62.8,192.6,1.06,3.5,0.41,3.35,1.3,6.9,7.0,11.0,192.6,89.0,2.53,18.4,4.94,5.24,7.6,5.8,5.9,-5.45
5,San Francisco 49ers,17,19.9,30.4,65.5,192.8,1.47,4.8,0.65,4.24,2.1,6.7,6.7,10.3,192.8,92.0,2.18,11.6,4.71,3.94,6.7,5.9,5.9,-3.32
6,Houston Texans,17,19.2,32.6,58.8,201.0,1.82,5.6,1.12,5.29,3.4,6.8,6.4,11.5,201.0,83.7,2.88,19.8,5.76,6.24,8.1,5.7,5.3,-0.30
7,Los Angeles Chargers,17,21.6,33.2,65.0,206.9,1.41,4.2,0.88,5.12,2.7,6.7,6.3,10.3,206.9,87.1,2.71,14.4,5.76,4.59,7.5,5.8,5.4,-1.11
8,New York Giants,17,20.5,29.6,69.4,210.6,1.35,4.6,0.29,3.53,1.0,7.7,8.2,11.1,210.6,103.1,2.65,17.0,5.53,5.65,8.2,6.5,7.0,-5.78
9,Miami Dolphins,17,21.5,33.6,63.8,210.7,1.29,3.8,0.59,4.06,1.7,6.7,6.7,10.5,210.7,88.7,2.06,14.5,4.76,4.88,5.8,5.9,5.9,-2.16
10,New England Patriots,17,20.4,31.4,64.9,211.5,1.59,5.1,0.41,4.29,1.3,7.0,7.5,10.8,211.5,96.9,1.65,9.00,3.88,3.65,5.0,6.4,6.8,-7.03
11,Seattle Seahawks,17,21.8,33.5,65.2,211.9,1.53,4.6,0.76,4.35,2.3,6.9,6.8,10.6,211.9,90.9,2.65,19.2,6.59,4.35,7.3,5.9,5.8,-2.16
12,Cleveland Browns,17,18.6,30.1,61.8,212.4,1.53,5.1,0.24,3.53,0.8,7.6,8.3,12.3,212.4,98.9,2.41,15.7,6.35,6.59,7.4,6.5,7.2,-4.75
13,Green Bay Packers,17,22.4,33.2,67.4,215.2,1.35,4.1,1.00,3.29,3.0,7.0,6.5,10.4,215.2,88.5,2.65,17.7,5.35,5.59,7.4,6.0,5.5,-1.33
14,Arizona Cardinals,17,21.8,31.7,68.6,216.1,1.18,3.7,0.53,3.71,1.7,7.3,7.3,10.6,216.1,95.1,2.41,15.1,4.47,5.12,7.1,6.3,6.3,-5.03
15,Las Vegas Raiders,17,21.8,33.0,66.0,216.2,1.71,5.2,0.59,4.76,1.8,7.1,7.3,10.8,216.2,96.5,2.24,18.4,5.06,4.88,6.3,6.1,6.4,-5.37
16,Chicago Bears,17,19.1,29.6,64.6,217.9,1.00,3.4,0.65,3.88,2.2,7.9,7.6,12.2,217.9,90.9,2.35,14.9,5.88,4.76,7.4,6.8,6.5,-2.32
17,Dallas Cowboys,17,20.5,30.1,68.2,218.1,1.65,5.5,0.76,4.12,2.5,7.9,7.9,11.6,218.1,99.5,3.06,19.8,6.18,4.12,9.2,6.6,6.5,-3.76
18,Kansas City Chiefs,17,22.1,33.5,65.9,218.8,1.41,4.2,0.76,4.18,2.3,7.0,6.8,10.6,218.8,90.6,2.29,14.7,6.59,5.12,6.4,6.1,5.9,-4.65
19,Denver Broncos,17,23.1,35.6,64.9,220.7,1.29,3.6,0.88,4.00,2.5,6.8,6.4,10.5,220.7,86.2,3.71,21.2,8.35,5.53,9.4,5.6,5.3,-0.95
